description,department
light pole fell on the highway,Electricity
missing road signboard near the temple,Traffic
someone attacked me near the market,Police
water supply irregular in our neighborhood,Water Supply
noise complaint violent situation near the park,Police
drunk person creating nuisance near the signal,Police
no electricity in our flat since a week,Electricity
short circuit happened near our apartment,Electricity
illegal gambling in our block,Police
violence happening at night near the signal,Police
fight broke out out near our gate,Police
water pipeline broken underground near the park,Water Supply
drain overflow causing waterlogging on the bypass,Municipal
dirty water coming from tap at our flat,Water Supply
no speed breaker near the market,Traffic
drainage water flooding service road,Municipal
road is dangerous due to potholes on the bypass,Traffic
assault complaint near the market,Police
car broken into near the signal,Police
power fluctuation destroying appliances in our shop,Electricity
sanitation problem in our ward since 5 hours,Municipal
no streetlight causing accidents on our street at night,Traffic
traffic light broken at the school,Traffic
extortion threat received in our ward,Police
new electricity connection needed at our building,Electricity
waste dumped illegally near the temple,Municipal
road encroachment by vendors on the bypass,Traffic
open drain causing issues near the signal,Municipal
transformer not working in our our ward,Electricity
sanitation problem in our neighborhood since since morning,Municipal
short circuit occurred near our building,Electricity
eve teasing happening on the lane,Police
violence happening at night near the bus stop,Police
water tanker not arrived in our colony,Water Supply
live wire fell and lying on service road,Electricity
someone assaulted me near the school,Police
no dustbin provided in our locality,Municipal
live wire is lying on service road,Electricity
autos blocking service road,Traffic
cleanliness issue in our neighborhood,Municipal
grievance from our locality,General
water supply cut without notice in our neighborhood,Water Supply
public toilet very dirty near the school,Municipal
someone threatening us in our neighborhood,Police
illegal gambling in our colony,Police
yellow water from tap in our office,Water Supply
electricity issue in my our building,Electricity
something wrong in our locality,General
wires hanging dangerously near the bus stop,Electricity
drunk person creating nuisance near our gate,Police
no sanitation workers coming to our area,Municipal
theft of gold chain in our neighborhood,Police
garbage heap near the park,Municipal
power cut in our our area,Electricity
chain snatching near the junction,Police
garbage smell unbearable in our block,Municipal
electricity issue in my our flat,Electricity
transformer not working in our our neighborhood,Electricity
no streetlight causing accidents on the highway at night,Traffic
wires hanging dangerously near the park,Electricity
electric meter failure at our building,Electricity
road needs repair near the school,Traffic
our road very dirty no cleaning done,Municipal
no water pressure at our shop,Water Supply
electric pole is broken on our street,Electricity
illegal gambling in our ward,Police
electric meter not working at our apartment,Electricity
current is not there since 5 hours,Electricity
underground cable exposed near the signal,Electricity
drunk person creating nuisance near the temple,Police
water meter broken at our flat,Water Supply
car broken into near the school,Police
domestic violence complaint in our area,Police
garbage heap near our gate,Municipal
waste dumped illegally near the park,Municipal
waste burning near houses in our ward,Municipal
someone attacked me near our gate,Police
autos blocking the lane,Traffic
traffic signal not working at our gate,Traffic
no light in our our locality at night,Electricity
water supply stopped suddenly in our block,Water Supply
garbage not collected in our colony for since yesterday,Municipal
dirty water coming from tap at our office,Water Supply
fight broke out near the school,Police
no water supply in our block since 2 days,Water Supply
waste dumped illegally near the bus stop,Municipal
no zebra crossing on the highway,Traffic
miscellaneous issue in our locality,General
assault complaint near the school,Police
electric shock from switchboard in our shop,Electricity
no water supply in our ward since since yesterday,Water Supply
laptop stolen from our office,Police
drain blocked near the temple,Municipal
road accident spot needs attention at the school,Traffic
no power supply for 5 hours,Electricity
transformer failure in our our colony,Electricity
electric meter fault at our apartment,Electricity
miscellaneous issue in our colony,General
water tank not filled in our ward for since morning,Water Supply
water shortage in our colony,Water Supply
live wire is hanging on main road,Electricity
water problem at our shop,Water Supply
litter everywhere on our road,Municipal
light pole fell on our road,Electricity
pothole causing accidents on service road,Traffic
power outage in our our area,Electricity
water supply irregular in our street,Water Supply
inverter not charging due to no power in our building,Electricity
tap water smells bad at our flat,Water Supply
water supply irregular in our block,Water Supply
someone attacked me near the signal,Police
garbage truck not coming to our ward,Municipal
theft of gold chain in our block,Police
traffic jam on the lane,Traffic
power cut since 3 days,Electricity
noise complaint violent situation near our gate,Police
harassment by neighbor in our street,Police
water shortage in our locality,Water Supply
assault complaint near the junction,Police
public toilet very dirty near the temple,Municipal
no water supply in our area since 5 hours,Water Supply
garbage bin overflowing near the school,Municipal
road caved in due to rain on main road,Traffic
road damage due to rain on the lane,Traffic
water tank not filled in our locality for since morning,Water Supply
violence happening at night near the junction,Police
water tank not filled in our street for 5 hours,Water Supply
eve teasing happening on main road,Police
water leakage wasting water on main road,Water Supply
water logging due to pipeline overflow on main road,Water Supply
garbage bin overflowing near the signal,Municipal
water not coming from tap at our building since 2 days,Water Supply
no light in our our neighborhood at night,Electricity
road accident spot needs attention at our gate,Traffic
harassment by neighbor in our block,Police
water not coming from tap at our apartment since since last night,Water Supply
water pipeline broken underground near the temple,Water Supply
footpath broken on our road,Traffic
electric pole is broken on the highway,Electricity
chain snatching near our gate,Police
harassment by neighbor in our ward,Police
sweeper not cleaning the highway,Municipal
flyover lights not working near the bus stop,Traffic
no zebra crossing on main road,Traffic
something wrong in our street,General
extortion threat received in our area,Police
illegal gambling in our neighborhood,Police
someone threatening my wife in our locality,Police
wrong side driving on service road,Traffic
theft of wallet in our locality,Police
open drain causing issues near the bus stop,Municipal
street light issue near our gate,Electricity
sweeper not cleaning our road,Municipal
open drain causing issues near the temple,Municipal
light is not coming in our office,Electricity
road encroachment by vendors on service road,Traffic
water supply cut without notice in our ward,Water Supply
robbery happened at our flat last night,Police
current is not there since since morning,Electricity
missing road signboard near the bus stop,Traffic
construction waste dumped on our road,Municipal
water supply cut without notice in our block,Water Supply
need help with civic issue in our locality,General
civic problem in our locality,General
waste dumped illegally near our gate,Municipal
yellow water from tap in our building,Water Supply
theft of car in our neighborhood,Police
no water supply in our locality since 5 hours,Water Supply
molestation complaint near the bus stop,Police
road needs repair near the signal,Traffic
requesting attention for our area,General
traffic light broken at the park,Traffic
no water supply in our street since since last night,Water Supply
civic problem in our ward,General
sanitation problem in our block since since morning,Municipal
manhole open and dangerous on service road,Municipal
road marking faded on our street,Traffic
no traffic police at the temple,Traffic
pipeline leaking on our road,Water Supply
no streetlight causing accidents on the bypass at night,Traffic
sanitation problem in our block since a week,Municipal
light is not coming in my house,Electricity
domestic violence complaint in our locality,Police
illegal parking blocking the bypass,Traffic
car broken into near the park,Police
burglary at house in our colony,Police
biomedical waste dumped openly near our gate,Municipal
theft of bike in our colony,Police
public nuisance in our area,General
traffic light broken at our gate,Traffic
live wire is hanging on the bypass,Electricity
no piped water connection in our ward,Water Supply
no light in our our ward at night,Electricity
